"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"BRM00082900","RECIFE, BR","1979-05-17","0.91","75","79","73"
"BRM00082900","RECIFE, BR","1979-05-18","0.87","78",,"73"
"BRM00082900","RECIFE, BR","1979-05-19","0.08","78","84","73"
"BRM00082900","RECIFE, BR","1979-05-20","0.08","78","84","73"
"BRM00082900","RECIFE, BR","1979-05-21","0.28","80",,"72"
"BRM00082900","RECIFE, BR","1979-05-22","0.67","79","84","73"
"BRM00082900","RECIFE, BR","1979-05-23","0.24","78","84","73"
"BRM00082900","RECIFE, BR","1979-05-24","0.00","78","84","72"
"BRM00082900","RECIFE, BR","1979-05-25","0.00","78","84","72"
"BRM00082900","RECIFE, BR","1979-05-26","0.00","78","86","72"
"BRM00082900","RECIFE, BR","1979-05-27","0.08","77","84","70"
"BRM00082900","RECIFE, BR","1979-05-29","0.35","79","84","75"
"BRM00082900","RECIFE, BR","1979-05-31","0.00","79","86","75"
"BRM00082900","RECIFE, BR","1979-06-01","0.00","78","84","66"
"BRM00082900","RECIFE, BR","1979-06-02","0.31","79","84","75"
"BRM00082900","RECIFE, BR","1979-06-03","0.12","78","82","73"
"BRM00082900","RECIFE, BR","1979-06-04","1.38","75","84","72"
"BRM00082900","RECIFE, BR","1979-06-05",,"74","77","70"
"BRM00082900","RECIFE, BR","1979-06-06","0.31","76",,"72"
"BRM00082900","RECIFE, BR","1979-06-07","0.28","76","82","72"
"BRM00082900","RECIFE, BR","1979-06-08","0.12","76","82","72"
"BRM00082900","RECIFE, BR","1979-06-09","0.08","77","84","73"
"BRM00082900","RECIFE, BR","1979-06-10","0.35","76","84","73"
"BRM00082900","RECIFE, BR","1979-06-11","1.93","74",,"72"
"BRM00082900","RECIFE, BR","1979-06-12","0.16","78","82","72"
"BRM00082900","RECIFE, BR","1979-06-13","0.47","78","82","73"
"BRM00082900","RECIFE, BR","1979-06-14","0.28","78","82","75"
"BRM00082900","RECIFE, BR","1979-06-15","0.16","75","82","72"
"BRM00082900","RECIFE, BR","1979-06-16","0.16","75","82","72"
"BRM00082900","RECIFE, BR","1979-06-18","0.31","74","81","72"
"BRM00082900","RECIFE, BR","1979-06-19","2.13","76","81","72"
"BRM00082900","RECIFE, BR","1979-06-20","0.04","78","82","70"
"BRM00082900","RECIFE, BR","1979-06-21","0.00","78","82","68"
"BRM00082900","RECIFE, BR","1979-06-25","0.12","77","82","73"
